tconst	averageRating	numVotes
tt0099724	5.4	463
tt0099725	5.8	117
tt0099726	6.7	22619
tt0099728	7.6	96
tt0099729	8	6917
tt0099730	6.8	43
tt0099731	6	9893
tt0099732	5.7	249
tt0099734	7.5	149
tt0099736	5.8	40
tt0099739	5.8	30478
tt0099740	5.9	15546
tt0099741	4.7	110
tt0099743	4.4	892
tt0099747	6.1	8107
tt0099748	6.2	10
tt0099750	5.5	3658
tt0099751	6.8	204
tt0099752	5.9	77
tt0099753	6.8	1065
tt0099755	7.5	34
tt0099757	4.3	596
tt0099758	5.9	60
tt0099759	6.4	39
tt0099760	6.1	46
tt0099761	5.8	15
tt0099762	6.3	13371
tt0099764	6.1	531
tt0099767	7.5	58
tt0099768	6.9	4190
tt0099771	7.2	51
tt0099772	6.1	380
tt0099773	6.6	41
tt0099775	4.6	104
tt0099776	7.6	16479
tt0099777	4.3	25
tt0099778	7.1	19
tt0099780	5.9	54
tt0099782	6.8	27
tt0099783	3.4	164
tt0099784	6.9	24
tt0099785	7.7	563102
tt0099786	7.1	114
tt0099787	5.6	208
tt0099788	7.2	28
tt0099789	5.5	220
tt0099791	5.5	433
tt0099793	6.1	145
tt0099795	5.4	9
tt0099796	6.3	150
tt0099797	6.4	12188
tt0099799	5	17
tt0099800	6.4	15170
tt0099804	5	174
tt0099805	6.2	32
tt0099806	3.3	10
tt0099807	5.6	56
tt0099808	5.4	57
tt0099809	6.6	440
tt0099810	7.5	200322
tt0099812	5.7	3673
tt0099814	4.3	432
tt0099816	6.5	2889
tt0099817	6.1	12527
tt0099818	7.2	6416
tt0099819	6.4	14704
tt0099822	4.8	750
tt0099824	5.6	112
tt0099826	5.1	1143
tt0099827	6	560
tt0099829	5.5	270
tt0099831	6.8	22
tt0099832	5.7	1327
tt0099834	4.4	36
tt0099836	6.6	302
tt0099837	6.5	94
tt0099839	5.6	223
tt0099840	5.1	15
tt0099841	5.2	346
tt0099842	7	544
tt0099844	7	1808
tt0099845	7.2	162
tt0099849	4.3	155
tt0099850	6.5	20549
tt0099854	7.6	95
tt0099855	4.3	46
tt0099856	4	2788
tt0099857	6.9	622
tt0099859	5.4	82
tt0099860	6.7	149
tt0099861	5.6	16
tt0099862	4.7	35
tt0099865	6.2	135
tt0099866	6	31
tt0099867	6.2	37
tt0099868	5.1	146
tt0099869	5	205
tt0099871	7.4	108821
tt0099872	4.1	14
tt0099874	5.6	124
tt0099875	6.1	1184
tt0099876	7.1	40
tt0099878	5.5	5323
tt0099879	4.3	268
tt0099880	6	96
tt0099882	4.8	19
tt0099885	5.2	19
tt0099888	6.4	377
tt0099889	5.7	50
tt0099890	6.4	86
tt0099892	5.9	37553
tt0099893	5.9	63
tt0099895	6.9	8
tt0099897	5.9	12
tt0099898	6.4	271
tt0099899	6.1	30
tt0099900	5	28
tt0099901	4.8	688
tt0099902	7.6	8491
tt0099904	6.5	367
tt0099905	5.5	42
tt0099906	3.8	8
tt0099907	4.7	199
tt0099908	7.3	19
tt0099909	5.3	13
tt0099913	5.6	12
tt0099914	5.7	127
tt0099915	5.8	422
tt0099916	4.1	25
tt0099917	6.8	277
tt0099919	6.5	25
tt0099920	5.6	203
tt0099922	3.8	110
tt0099923	7	62
tt0099924	8	14
tt0099927	7.4	490
tt0099928	5.7	27
tt0099929	5.4	87
tt0099930	6.3	284
tt0099931	4.6	98
tt0099933	6.2	80
tt0099934	4.4	714
tt0099935	3.7	1631
tt0099936	6.7	678
tt0099938	6.2	150268
tt0099939	6.9	37720
tt0099940	4.4	16
tt0099941	5.9	112
tt0099943	5.9	722
tt0099944	6.4	224
tt0099945	9.1	9
tt0099946	6.4	32
tt0099948	6.7	158
tt0099949	7.4	1453
tt0099950	6.9	57
tt0099951	6.6	8631
tt0099953	4.8	223
tt0099954	6.9	17
tt0099955	3.5	13
tt0099956	6	23
tt0099959	4.7	632
tt0099961	6.3	358
tt0099964	5.5	6
tt0099965	6.2	320
tt0099966	6.4	329
tt0099968	4.5	176
tt0099969	3.4	1129
tt0099970	8.5	10
tt0099972	7.9	9
tt0099973	8.5	14
tt0099975	5.8	153
tt0099980	6.2	113
tt0099981	7.3	38
tt0099982	3.9	331
tt0099983	6.2	118
tt0099984	4.6	103
tt0099987	4.5	275
tt0099991	5.8	1449
tt0099994	5	17239
tt0099995	6.7	188
tt0099996	7.1	506
tt0099998	5.4	61
tt0100000	5.7	16
tt0100002	7.9	368
tt0100004	6.4	244
tt0100006	8.5	23
tt0100007	5.8	45
tt0100008	5.4	136
tt0100009	4.4	93
tt0100012	6	284
tt0100014	5.7	900
tt0100016	7.4	29
tt0100024	7.4	10483
tt0100027	8.5	7
tt0100029	6.2	36770
tt0100030	4.8	21
tt0100032	3	18
tt0100033	6	368
tt0100034	5.8	104
tt0100036	5.4	118
tt0100038	5.6	301
tt0100039	4.7	144
tt0100042	7.2	55
tt0100045	5.7	278
tt0100046	7.3	4202
tt0100047	6.4	1072
tt0100048	6.4	112
tt0100050	4.6	46957
tt0100051	5	68
tt0100052	5.6	157
tt0100053	4.9	4859
tt0100054	6.4	31146
tt0100056	5.8	320
tt0100057	5.7	252
tt0100058	6.6	404
tt0100059	6.4	83
tt0100063	7.2	883
tt0100064	6.6	96
tt0100065	5.7	1320
tt0100066	4.7	8
tt0100067	4.4	111
tt0100069	6.6	206
tt0100070	4.4	1026
tt0100071	6.1	159
tt0100072	7.9	47
tt0100075	6.7	180
tt0100077	5.8	60
tt0100080	4.8	9
tt0100081	6	26
tt0100082	5.9	26
tt0100083	6	1109
tt0100084	5	52
tt0100086	6.2	325
tt0100087	5.4	3324
tt0100088	4.9	78
tt0100090	7.8	16
tt0100092	5.5	168
tt0100093	7.9	22
tt0100096	5.7	456
tt0100097	6.4	133
tt0100098	6.6	11
tt0100100	4.4	512
tt0100101	4.6	201
tt0100102	5.4	175
tt0100104	5.2	48
tt0100106	4.7	66
tt0100107	5.9	7605
tt0100108	3.9	858
tt0100110	6	5
tt0100111	5.2	8
tt0100112	7.2	9860
tt0100113	4.3	93
tt0100114	5.9	22518
tt0100115	6.7	78
tt0100119	5.2	624
tt0100122	5.2	94
tt0100123	6.4	182
tt0100125	4.8	15
tt0100126	6.6	172
tt0100128	4.5	165
tt0100129	5.4	2435
tt0100130	3.8	260
tt0100131	7.4	12
tt0100132	4.4	116
tt0100133	6.9	28765
tt0100134	6.6	2608
tt0100135	5.9	25070
tt0100137	5.5	59
tt0100138	5.7	138
tt0100140	6.7	32490
tt0100141	4.3	20
tt0100142	7.3	11421
tt0100143	6.4	9034
tt0100144	7	45
tt0100146	4.7	97
tt0100147	4.6	156
tt0100148	5.1	1014
tt0100150	7.7	135704
tt0100151	7.6	3118
tt0100152	5.2	2630
tt0100153	7.4	31
tt0100154	6.1	605
tt0100156	5.6	1861
tt0100157	7.8	211022
tt0100159	3.8	225
tt0100160	6.5	126
tt0100161	5.9	2640
tt0100163	6.5	43
tt0100164	5.4	325
tt0100167	6.3	59
tt0100168	6.6	12731
tt0100171	5.2	247
tt0100172	5.2	790
tt0100173	6.5	1124
tt0100175	4.9	207
tt0100177	6.5	46
tt0100180	5.1	167
tt0100181	5.2	33
tt0100182	4.9	88
tt0100183	7	28
tt0100184	6.7	16
tt0100185	7	8
tt0100186	7.5	8
tt0100187	6.4	30
tt0100190	5.6	19
tt0100191	6.1	116
tt0100192	7.4	877
tt0100193	6.3	26
tt0100194	6.4	123
tt0100195	3.3	10
tt0100196	7.1	3889
tt0100197	5.8	63
tt0100198	5.8	226
tt0100200	6.6	3165
tt0100201	6.4	12563
tt0100202	5.5	164
tt0100203	6.8	36
tt0100204	6.1	93
tt0100206	5.1	91
tt0100207	6.1	106
tt0100209	7	489
tt0100210	5	94
tt0100212	6.2	21354
tt0100213	5.1	126
tt0100215	6.1	16
tt0100219	6.5	48
tt0100220	5.3	40
tt0100221	7	10
tt0100222	5.9	675
tt0100223	6.6	197
tt0100224	6.5	9402
tt0100225	6.4	18
tt0100226	6.1	25
tt0100227	6	12
tt0100229	6.4	23
tt0100230	7.4	70
tt0100231	6.1	15
tt0100232	5.5	16988
tt0100234	8.2	19999
tt0100236	6.6	11
tt0100237	5.8	26
tt0100239	7.9	18
tt0100240	5	26291
tt0100241	2.3	24
tt0100244	7.6	13
tt0100246	7.3	226
tt0100247	4.4	676
tt0100251	4.2	693
tt0100253	4.7	443
tt0100256	4.6	126
